country;internet_use;population;area;density_pop;coastline;migration;Infant_mortality;gdp;literacy;phones;arable;crops;other;climate;birthrate;death rate;agriculture;industry;service;happiness_score;gdp_h;social_support;health;freedom;generosity;government_trust;dystopia_residual;continent
Albania ;70;3581655;28748;124,60;1,26;-4,93;21,52;4500;86,50;71,20;21,09;4,42;74,49;3;15,11;5,22;0,23;0,19;0,58;4,8827;0,9067;0,8305;0,8463;0,4619;0,1710;0,0254;1,6409;Europe
Austria ;89;8192880;83870;97,70;0,00;2,00;4,66;30000;98,00;452,20;16,91;0,86;82,23;3;8,74;9,76;0,02;0,30;0,68;7,2942;1,3173;1,4374;1,0009;0,6034;0,2555;0,2813;2,3984;Europe
Belarus ;;10293011;207600;49,60;0,00;2,54;13,37;6100;99,60;319,10;29,55;0,60;69,85;4;11,16;14,02;0,09;0,32;0,59;5,5399;1,0189;1,3871;0,7526;0,2908;0,0899;0,1936;1,8070;Europe
Belgium ;92;10379067;30528;340,00;0,22;1,23;4,68;29100;98,00;462,60;23,28;0,40;76,32;3;10,38;10,27;0,01;0,24;0,75;6,8635;1,2958;1,3987;0,9649;0,4998;0,1470;0,2087;2,3486;Europe
Bosnia & Herzegovina ;74;4498976;51129;88,00;0,04;0,31;21,05;6100;;215,40;13,60;2,96;83,44;4;8,77;8,27;0,14;0,31;0,55;5,6741;0,9184;1,2040;0,8139;0,3054;0,2640;0,0012;2,1672;Europe
Bulgaria ;74;7385367;110910;66,60;0,32;-4,58;20,55;7600;98,60;336,30;40,02;1,92;58,06;3;9,65;14,27;0,09;0,30;0,60;5,1015;1,0466;1,4606;0,7778;0,4178;0,1038;0,0000;1,2950;Europe
Croatia ;80;4494749;56542;79,50;10,32;1,58;6,84;10600;98,50;420,40;26,09;2,27;71,65;;9,61;11,48;0,07;0,31;0,62;5,5047;1,1090;1,3113;0,9006;0,3815;0,1140;0,0123;1,6760;Europe
Czech Republic ;89;10235455;78866;129,80;0,00;0,97;3,93;15700;99,90;314,30;39,80;3,05;57,15;3;9,02;10,59;0,03;0,39;0,57;6,9109;1,2123;1,4053;0,8946;0,5057;0,0463;0,0498;2,7968;Europe
Denmark ;99;5450661;43094;126,50;16,97;2,48;4,56;31100;100,00;614,60;54,02;0,19;45,79;3;11,13;10,36;0,02;0,25;0,74;7,6456;1,3269;1,5034;0,9793;0,6650;0,2428;0,4953;2,4327;Europe
Estonia ;90;1324333;45226;29,30;8,39;-3,16;7,87;12300;99,80;333,80;16,04;0,45;83,51;3;10,04;13,25;0,04;0,29;0,67;6,0218;1,1924;1,4532;0,8426;0,5767;0,1251;0,2018;1,6299;Europe
Finland ;97;5231372;338145;15,50;0,37;0,95;3,57;27400;100,00;405,30;7,19;0,03;92,78;3;10,45;9,86;0,03;0,30;0,68;7,8087;1,2852;1,4995;0,9613;0,6623;0,1597;0,4779;2,7628;Europe
France ;91;60876136;547030;111,30;0,63;0,66;4,26;27600;99,00;586,40;33,53;2,07;64,40;4;11,99;9,14;0,02;0,21;0,76;6,6638;1,2681;1,4588;1,0297;0,5141;0,1126;0,2273;2,0532;Europe
Germany ;95;82422299;357021;230,90;0,67;2,18;4,16;27600;99,00;667,90;33,85;0,59;65,56;3;8,25;10,62;0,01;0,30;0,70;7,0758;1,3142;1,3685;0,9721;0,5643;0,2520;0,3094;2,2952;Europe
Greece ;79;10688058;131940;81,00;10,37;2,35;5,53;20000;97,50;589,70;21,10;8,78;70,12;3;9,68;10,24;0,05;0,21;0,73;5,5150;1,1281;1,1690;0,9794;0,1735;0,0000;0,0488;2,0162;Europe
Hungary ;86;9981334;93030;107,30;0,00;0,86;8,57;13900;99,40;336,20;50,09;2,06;47,85;3;9,72;13,11;0,04;0,31;0,65;6,0004;1,1643;1,4230;0,8068;0,3864;0,0705;0,0275;2,1218;Europe
Iceland ;99;299388;103000;2,90;4,83;2,38;3,31;30900;99,90;647,70;0,07;0,00;99,93;3;13,64;6,72;0,09;0,15;0,77;7,5045;1,3265;1,5476;1,0008;0,6620;0,3623;0,1445;2,4607;Europe
Ireland ;92;4062235;70280;57,80;2,06;4,99;5,39;29600;98,00;500,50;15,20;0,03;84,77;3;14,45;7,82;0,05;0,46;0,49;7,0937;1,4469;1,4706;0,9757;0,5878;0,2954;0,3734;1,9439;Europe
Italy ;81;58133509;301230;193,00;2,52;2,07;5,94;26700;98,60;430,90;27,79;9,53;62,68;;8,72;10,40;0,02;0,29;0,69;6,3874;1,2364;1,3473;1,0225;0,3213;0,1703;0,0401;2,2495;Europe
Latvia ;90;2274735;64589;35,20;0,82;-2,23;9,55;10200;99,80;321,40;29,67;0,47;69,86;3;9,24;13,66;0,04;0,26;0,70;5,9500;1,1414;1,4144;0,7779;0,3292;0,0754;0,0904;2,1213;Europe
Lithuania ;84;3585906;65200;55,00;0,14;-0,71;6,89;11400;99,60;223,40;45,22;0,91;53,87;;8,75;10,98;0,06;0,33;0,62;6,2155;1,1936;1,4329;0,7954;0,4205;0,0537;0,0814;2,2381;Europe
Luxembourg ;99;474413;2586;183,50;0,00;8,97;4,81;55100;100,00;515,40;23,28;0,40;76,32;;11,94;8,41;0,01;0,13;0,86;7,2375;1,5367;1,3875;0,9864;0,6101;0,1960;0,3670;2,1537;Europe
Malta ;87;400214;316;1266,50;62,28;2,07;3,89;17700;92,80;505,00;28,13;3,13;68,74;;10,22;8,10;0,03;0,23;0,74;6,7728;1,2525;1,4430;0,9720;0,6332;0,3412;0,1789;1,9520;Europe
Moldova ;;4466706;33843;132,00;0,00;-0,26;40,42;1800;99,10;208,10;55,30;10,79;33,91;;15,70;12,64;0,21;0,23;0,56;5,6075;0,7079;1,2373;0,7133;0,3896;0,1740;0,0144;2,3710;Europe
Netherlands ;95;16491461;41526;397,10;1,09;2,91;5,04;28600;99,00;460,80;26,71;0,97;72,32;3;10,90;8,68;0,02;0,24;0,74;7,4489;1,3389;1,4636;0,9757;0,6136;0,3363;0,3686;2,3521;Europe
Norway ;98;4610820;323802;14,20;7,77;1,74;3,70;37800;100,00;461,70;2,87;0,00;97,13;3;11,46;9,40;0,02;0,42;0,56;7,4880;1,4242;1,4952;1,0081;0,6702;0,2880;0,4341;2,1683;Europe
Poland ;85;38536869;312685;123,30;0,16;-0,49;8,51;11100;99,80;306,30;45,91;1,12;52,97;3;9,85;9,89;0,05;0,31;0,64;6,1863;1,1692;1,3104;0,8680;0,5579;0,0634;0,1605;2,0568;Europe
Portugal ;79;10605870;92391;114,80;1,94;3,57;5,05;18000;93,30;399,20;21,75;7,81;70,44;3;10,72;10,50;0,05;0,27;0,67;5,9109;1,1688;1,3395;0,9793;0,5899;0,0530;0,0277;1,7526;Europe
Romania ;85;22303552;237500;93,90;0,09;-0,13;26,43;7000;98,40;196,90;40,82;2,25;56,93;3;10,70;11,77;0,10;0,35;0,55;6,1237;1,1204;1,1944;0,7923;0,5349;0,0682;0,0008;2,4127;Europe
Russia ;;142893540;17075200;8,40;0,22;1,02;15,39;8900;99,60;280,60;7,33;0,11;92,56;;9,95;14,65;0,05;0,37;0,58;5,5460;1,1270;1,3786;0,6804;0,3995;0,0990;0,0457;1,8157;Europe
Serbia ;79;9396411;88361;106,30;0,00;-1,33;12,89;2200;93,00;285,80;33,35;3,20;63,45;;;;0,17;0,26;0,58;5,7782;0,9882;1,3274;0,8284;0,3954;0,1503;0,0594;2,0290;Europe
Slovakia ;91;5439448;48845;111,40;0,00;0,30;7,41;13300;;220,10;30,16;2,62;67,22;3;10,65;9,45;0,04;0,29;0,67;6,2806;1,1948;1,4243;0,8535;0,4235;0,1167;0,0113;2,2564;Europe
Slovenia ;88;2010347;20273;99,20;0,23;1,12;4,45;19000;99,70;406,10;8,60;1,49;89,91;;8,98;10,31;0,03;0,37;0,60;6,3634;1,2087;1,4647;0,9325;0,6467;0,1457;0,0765;1,8886;Europe
Spain ;93;40397842;504782;80,00;0,98;0,99;4,42;22000;97,90;453,50;26,07;9,87;64,06;3;10,06;9,72;0,04;0,30;0,67;6,4009;1,2305;1,4211;1,0513;0,4260;0,1653;0,1096;1,9971;Europe
