country;population;area;density_pop;coastline;migration;Infant_mortality;gdp;literacy;phones;arable;crops;other;climate;birthrate;death rate;agriculture;industry;service;happiness_score;gdp_h;social_support;health;freedom;generosity;government_trust;dystopia_residual;continent
Afghanistan ;31056997;647500;48.0;0.00;23.06;163.07;700;36.0;3.2;12.13;0.22;87.65;1;46.6;20.34;0.38;0.24;0.38;2.566900015;0.30070585;0.356433839;0.266051531;0.0;0.135234714;0.001225785;1.507235646;Asia
Albania ;3581655;28748;124.6;1.26;-4.93;21.52;4500;86.5;71.2;21.09;4.42;74.49;3;15.11;5.22;232;188;579;4.882699966000001;0.906653047;0.830483913;0.8463296290000001;0.461945891;0.171027765;0.025361285;1.640897036;Europe
Algeria ;32930091;2381740;13.8;0.04;-0.39;31;6000;70.0;78.1;3.22;0.25;96.53;1;17.14;4.61;101;0.6;298;5.005099773;0.943856001;1.143003583;0.745418549;0.083943799;0.118915014;0.12919065400000002;1.840811729;Africa
Argentina ;39921833;2766890;14.4;0.18;0.61;15.18;11200;97.1;220.4;12.31;0.48;87.21;3;16.73;7.55;95;358;547;5.974699974;1.028465629;1.372543693;0.849773705;0.520840347;0.070100471;0.060415059000000014;2.072540998;South America
Armenia ;2976372;29800;99.9;0.00;-6.47;23.28;3500;98.6;195.7;17.55;2.3;80.15;4;12.07;8.23;239;343;418;4.676799774;0.8082624079999999;1.034576893;0.77585727;0.378075808;0.107225738;0.104618184;1.468161583;Asia
Australia ;20264082;7686850;2.6;0.34;3.98;4.69;29000;100.0;565.5;6.55;0.04;93.41;1;12.14;7.51;38;262;0.7;7.222799778;1.310396433;1.477146268;1.022607684;0.621877193;0.324973613;0.335996419;2.129804134;Australia
Austria ;8192880;83870;97.7;0.00;2;4.66;30000;98.0;452.2;16.91;0.86;82.23;3;8.74;9.76;18;304;678;7.294199944;1.317285538;1.437444925;1.000933528;0.6033688779999999;0.255509764;0.281256139;2.398446083;Europe
Azerbaijan ;7961619;86600;91.9;0.00;-4.9;81.74;3400;97.0;137.1;19.63;2.71;77.66;1;20.74;9.75;141;457;402;5.164800167;0.990272701;1.180613041;0.731134057;0.467734724;0.040113214;0.247307181;1.507632971;Asia
Bahrain ;698585;665;1050.5;24.21;1.05;17.27;16900;89.1;281.3;2.82;5.63;91.55;1;17.8;4.14;5;387;608;6.227300167;1.296692252;1.31532371;0.838836372;0.610399902;0.287453711;0.12669725699999998;1.751917362;Asia
Bangladesh ;147365352;144000;1023.4;0.40;-0.71;62.6;1900;43.1;7.3;62.11;3.07;34.82;2;29.8;8.27;199;198;603;4.832799911;0.556156278;0.8688005809999999;0.694940507;0.604130566;0.17674511699999998;0.176735908;1.755261898;Asia
Belarus ;10293011;207600;49.6;0.00;2.54;13.37;6100;99.6;319.1;29.55;0.6;69.85;4;11.16;14.02;93;316;591;5.539899826;1.018854499;1.38713932;0.75258857;0.29075586800000003;0.08993306;0.193607435;1.8069911;Europe
Belgium ;10379067;30528;340.0;0.22;1.23;4.68;29100;98.0;462.6;23.28;0.4;76.32;3;10.38;10.27;0.01;0.24;749;6.863500117999999;1.295842767;1.3986775880000002;0.964901149;0.499805421;0.146966159;0.208724052;2.348626614;Europe
Benin ;7862944;112620;69.8;0.11;0;85;1100;40.9;9.7;18.08;2.4;79.52;2;38.85;12.22;316;138;546;5.21600008;0.366244704;0.352428436;0.328062952;0.40583989;0.196670428;0.125931874;3.440809727;Africa
Bolivia ;8989046;1098580;8.2;0.00;-1.32;53.11;2400;87.2;71.9;2.67;0.19;97.14;1.5;23.3;7.53;128;352;0.52;5.747499942999999;0.7309763429999999;1.142350554;0.6624456639999999;0.5744645;0.138375074;0.072942637;2.425928593;South America
Bosnia & Herzegovina ;4498976;51129;88.0;0.04;0.31;21.05;6100;;215.4;13.6;2.96;83.44;4;8.77;8.27;142;308;0.55;5.674099922000001;0.91839546;1.203986526;0.813928187;0.305365741;0.264005244;0.001172487;2.16724205;Europe
Botswana ;1639833;600370;2.7;0.00;0;54.58;9000;79.8;80.5;0.65;0.01;99.34;1;23.08;29.5;24;469;507;3.478899956;0.997548997;1.08569479;0.494101733;0.50908941;0.033407487;0.101786368;0.257240534;Africa
Brazil ;188078227;8511965;22.1;0.09;-0.03;29.61;7600;86.4;225.3;6.96;0.9;92.15;2;16.56;6.17;84;0.4;516;6.375599861;0.952679873;1.363464117;0.766119063;0.483292729;0.131674588;0.106518604;2.571860313;South America
Bulgaria ;7385367;110910;66.6;0.32;-4.58;20.55;7600;98.6;336.3;40.02;1.92;58.06;3;9.65;14.27;93;304;603;5.101500034;1.046554685;1.4605789180000002;0.7777768970000001;0.417820066;0.103833713;0.0;1.294961452;Europe
Burkina Faso ;13902972;274200;50.7;0.00;0;97.57;1100;26.6;7.0;14.43;0.19;85.38;2;45.62;15.6;322;196;482;4.768700123;0.302467644;0.9293859;0.312833875;0.322398156;0.186390609;0.126408055;2.588826418;Africa
Burundi ;8090068;27830;290.7;0.00;-0.06;69.29;600;51.6;3.4;35.05;14.02;50.93;2;42.22;13.46;463;203;334;3.775300026;0.0;0.403575271;0.295212835;0.275399059;0.187401786;0.212186828;2.401507378;Africa
Cambodia ;13881427;181040;76.7;0.24;0;71.48;1900;69.4;2.6;20.96;0.61;78.43;2;26.9;9.06;0.35;0.3;0.35;4.8484001160000005;0.544634938;1.071426034;0.587904334;0.674940348;0.233342081;0.072837502;1.663300037;Asia
Cameroon ;17340702;475440;36.5;0.08;0;68.26;1800;79.0;5.7;12.81;2.58;84.61;1.5;33.89;13.47;448;0.17;382;5.084899902;0.503958046;0.89972645;0.270189553;0.4392424820000001;0.198020101;0.054393422;2.719370842;Africa
Canada ;33098932;9984670;3.3;2.02;5.96;4.75;29800;97.0;552.2;4.96;0.02;95.02;;10.78;7.8;22;294;684;7.23210001;1.301647663;1.4353919030000002;1.022501945;0.644028127;0.28152892;0.35170185600000003;2.195269108;North America
Chad ;9944201;1284000;7.7;0.00;-0.11;93.82;1200;47.5;1.3;2.86;0.02;97.12;2;45.73;16.38;335;259;406;4.422699928;0.302287489;0.739118278;0.1087441;0.228601769;0.210805088;0.085755408;2.74742651;Africa
Chile ;16134219;756950;21.3;0.85;0;8.8;9900;96.2;213.0;2.65;0.42;96.93;3;15.23;5.81;0.06;493;447;6.228499889;1.096992493;1.323286891;0.889260828;0.417482227;0.155579001;0.06284935;2.283012867;South America
China ;1313973713;9596960;136.9;0.15;-0.4;24.18;5000;90.9;266.7;15.4;1.25;83.35;1.5;13.25;6.97;125;473;403;5.123899937;0.990533412;1.132080674;0.867248535;0.6016051170000001;0.079021044;0.117255554;1.336181879;Asia
Colombia ;43593035;1138910;38.3;0.28;-0.31;20.97;6300;92.5;176.2;2.42;1.67;95.91;2;20.48;5.58;125;342;533;6.163400172999999;0.93220371;1.33445096;0.8100201490000001;0.526890039;0.092374094;0.04584837;2.421656609;South America
Congo. Dem. Rep. ;62660551;2345410;26.7;0.00;0;94.69;700;65.5;0.2;2.96;0.52;96.52;2;43.69;13.27;0.55;0.11;0.34;5.194399834;0.633616745;0.7576360109999999;0.458101124;0.386514395;0.117216013;0.118670784;2.722619534;Africa
Congo. Repub. of the ;3702314;342000;10.8;0.05;-0.17;93.86;700;83.8;3.7;0.51;0.13;99.36;2;42.57;12.93;62;0.57;369;4.31099987;0.062487468;0.833055019;0.277212054;0.36462298;0.254324883;0.081466645;2.437864304;Africa
Costa Rica ;4075261;51100;79.8;2.52;0.51;9.95;9100;96.0;340.7;4.41;5.88;89.71;2;18.32;4.36;88;299;614;7.121399879;0.981107712;1.374853611;0.939635336;0.6450177429999999;0.131266311;0.096362092;2.953135014;South America
